CustomerId,Recency,Frequency,Monetary,Cluster,Customer_Type
12346.0,5.7899601708972535,0.6931471805599453,11.253955234248428,2,At Risk Customers
12347.0,1.0986122886681098,2.0794415416798357,8.368925174747135,1,New Customers
12348.0,4.330733340286331,1.6094379124341003,7.494563687769957,2,At Risk Customers
12349.0,2.995732273553991,0.6931471805599453,7.472244884833674,0,Loyal Customers
12350.0,5.739792912179234,0.6931471805599453,5.815323849389109,3,High Risk Customers
12352.0,3.6109179126442243,2.1972245773362196,7.826858053356098,2,At Risk Customers
12353.0,5.3230099791384085,0.6931471805599453,4.499809670330265,3,High Risk Customers
12354.0,5.4510384535657,0.6931471805599453,6.985086621918461,3,High Risk Customers
12355.0,5.3706380281276624,0.6931471805599453,6.132095676847728,3,High Risk Customers
12356.0,3.1780538303479458,1.3862943611198906,7.941804157314053,2,At Risk Customers
12357.0,3.5263605246161616,0.6931471805599453,8.733701981297274,2,At Risk Customers
12358.0,1.0986122886681098,1.0986122886681098,7.063955286074528,0,Loyal Customers
12359.0,4.07753744390572,1.6094379124341003,8.750054175177759,2,At Risk Customers
12360.0,3.970291913552122,1.3862943611198906,7.887231116540211,2,At Risk Customers
12361.0,5.662960480135946,0.6931471805599453,5.251749730731702,3,High Risk Customers
12362.0,1.3862943611198906,2.3978952727983707,8.56163678004062,1,New Customers
12363.0,4.709530201312334,1.0986122886681098,6.315358001522335,3,High Risk Customers
12364.0,2.1972245773362196,1.6094379124341003,7.180907299649593,2,At Risk Customers
12365.0,5.676753802268282,1.0986122886681098,6.465180028897591,3,High Risk Customers
12367.0,1.6094379124341003,0.6931471805599453,5.135210028677887,0,Loyal Customers
12370.0,3.9512437185814275,1.6094379124341003,8.172712169921061,2,At Risk Customers
12371.0,3.828641396489095,1.0986122886681098,7.543781692052325,2,At Risk Customers
12372.0,4.290459441148391,1.3862943611198906,7.169380809114136,2,At Risk Customers
12373.0,5.7430031878094825,0.6931471805599453,5.901539839579995,3,High Risk Customers
12374.0,3.258096538021482,0.6931471805599453,6.6119469443852195,0,Loyal Customers
12375.0,2.4849066497880004,1.0986122886681098,6.127960291696519,0,Loyal Customers
12377.0,5.755742213586912,1.0986122886681098,7.395795270713971,2,At Risk Customers
12378.0,4.875197323201151,0.6931471805599453,8.29645175271804,2,At Risk Customers
12379.0,4.418840607796598,1.0986122886681098,6.749040867823617,2,At Risk Customers
12380.0,3.1354942159291497,1.6094379124341003,7.910520910634419,2,At Risk Customers
12381.0,1.791759469228055,1.791759469228055,7.520944331624911,1,New Customers
12383.0,5.225746673713202,1.791759469228055,7.523783805985769,2,At Risk Customers
